name,position,city,state,police_department_name,email
"Steve Adler","Mayor","Austin","Texas","Austin Police Department","Steve.Adler@austintexas.gov"
"Ora Houston","City Council","Austin","Texas","Austin Police Department","Delia.Garza@austintexas.gov"
"Sabino Renteria","City Council","Austin","Texas","Austin Police Department","Sabino.Renteria@austintexas.gov"
"Gregorio Cesar","City Council","Austin","Texas","Austin Police Department","Gregorio.Casar@austintexas.gov"
"Ann Kitchen","City Council","Austin","Texas","Austin Police Department","Ann.Kitchen@austintexas.gov"
"Jimmy Flannigan","City Council","Austin","Texas","Austin Police Department","Jimmy.Flannigan@austintexas.gov"
"Leslie Pool","City Council","Austin","Texas","Austin Police Department","Leslie.Pool@austintexas.gov"
"Ellen Troxclair","City Council","Austin","Texas","Austin Police Department","Ellen.Troxclair@austintexas.gov"
"Kathie Toyo","City Council","Austin","Texas","Austin Police Department","Kathie.Tovo@austintexas.gov"
"Alison Alter","City Council","Austin","Texas","Austin Police Department","Alison.Alter@austintexas.gov"
