name,position,city,state,police_department_name,email
"Lori Lightfoot","Mayor","Chicago","Illinois","Chicago Police Department","letterforthemayor@cityofchicago.org"
"Daniel La Spata","Ward","Chicago","Illinois","Chicago Police Department","info@the1stward.com"
"Susan Sadlowski Garza","Ward","Chicago","Illinois","Chicago Police Department","ward10@cityofchicago.org"
"Harry Osterman","Ward","Chicago","Illinois","Chicago Police Department","Office@49thWard.org"
"Roberto Maldonado","Ward","Chicago","Illinois","Chicago Police Department","ward26@cityofchicago.org"
"Andre Vasquez Jr","Ward","Chicago","Illinois","Chicago Police Department","info@40thward.org"
"Anthony V. Napolitano","Ward","Chicago","Illinois","Chicago Police Department","ward41@cityofchicago.org"
"Michele Smith","Ward","Chicago","Illinois","Chicago Police Department","Yourvoice@ward43.org"
"Raymond A. Lopez","Ward","Chicago","Illinois","Chicago Police Department","ward15@cityofchicago.org"
"Marty Quinn","Ward","Chicago","Illinois","Chicago Police Department","ward13@cityofchicago.org"
"James M. Gardiner","Ward","Chicago","Illinois","Chicago Police Department","ward45@cityofchicago.org"
"Michael D. Rodriguez","Ward","Chicago","Illinois","Chicago Police Department","ward22@cityofchicago.org"
"Matthew O'Shea","Ward","Chicago","Illinois","Chicago Police Department","ward19@cityofchicago.org"
"David Brown","Police Chief","Chicago","Illinois","Chicago Police Department","CLEARPATH@chicagopolice.org
"
