name,position,city,state,police_department_name,email
"Sylvester Turner","Mayor","Houston","Texas","Texas Police Department","mayor@houstontx.gov"
"Amy Peck","City Council","Houston","Texas","Texas Police Department","districta@houstontx.gov"
"Jerry Davis","City Council","Houston","Texas","Texas Police Department","districtb@houstontx.gov"
"Abbie Kamin","city council","houston","texas","texas police department","districtc@houstontx.gov"
"Carolyn Evans-Shabazz","City Council","Houston","Texas","Texas Police Department","districtd@houstontx.gov"
"Dave Martin","City Council","Houston","Texas","Texas Police Department","districte@houstontx.gov"
"Tiffany Thomas","City Council","Houston","Texas","Texas Police Department","districtf@houstontx.gov"
"Greg Travis","City Council","Houston","Texas","Texas Police Department","districtg@houstontx.gov"
"Karla Cisneros","City Council","Houston","Texas","Texas Police Department","districth@houstontx.gov"
"Robert Gallegos","City Council","Houston","Texas","Texas Police Department","districti@houstontx.gov"
"Edward Pollard","City Council","Houston","Texas","Texas Police Department","districtj@houstontx.gov"
"Martha Castex-Tatum","City Council","Houston","Texas","Texas Police Department","districtkb@houstontx.gov"
"Art Acevedo","Police Chief","Houston","Texas","Texas Police Department","public.affairs@houstonpolice.org"

