name,position,city,state,police_department_name,email
"Lenny Curry","Mayor","Jacksonville","Florida","Jacksonville Police Department","MayorLennyCurry@coj.net"
"Joyce Morgan","City Council","Jacksonville","Florida","Jacksonville Police Department","JoyceMorgan@coj.net"
"Al Ferraro","City Council","Jacksonville","Florida","Jacksonville Police Department","Ferraro@coj.net" 
"Aaron L Bowman","City Council","Jacksonville","Florida","Jacksonville Police Department","ABowman@coj.net" 
"Scott Wilson","City Council","Jacksonville","Florida","Jacksonville Police Department","SWilson@coj.net"
"LeAnna Cumber","City Council","Jacksonville","Florida","Jacksonville Police Department","LCumber@coj.net"
"Michael Boylan","City Council","Jacksonville","Florida","Jacksonville Police Department","MBoylan@coj.net"
"Reggie Gaffney","City Council","Jacksonville","Florida","Jacksonville Police Department","RGaffney@coj.net"
"Ju Coby Pittman","City Council","Jacksonville","Florida","Jacksonville Police Department","JPittman@coj.net"
"Garrett L Dennis","City Council","Jacksonville","Florida","Jacksonville Police Department","GarrettD@coj.net"
"Brenda Priestly Jackson","City Council","Jacksonville","Florida","Jacksonville Police Department","BPJackson@coj.net"
"Danny Becton","City Council","Jacksonville","Florida","Jacksonville Police Department","DBecton@coj.net"
"Randy White","City Council","Jacksonville","Florida","Jacksonville Police Department","RandyWhite@coj.net"
"Rory Diamond","City Council","Jacksonville","Florida","Jacksonville Police Department","RDiamond@coj.net"
"Randy DeFoor","City Council","Jacksonville","Florida","Jacksonville Police Department","RDeFoor@coj.net"
