name,position,city,state,police_department_name,email
"Eric Garcetti","Mayor","Los Angeles","California","Los Angeles Police Department","mayor.helpdesk@lacity.org"
"Mike Feuer","City Attorney","Los Angeles","California","Los Angeles Police Department","mayor.garcetti@lacity.org"
"Ron Galperin","City Controller","Los Angeles","California","Los Angeles Police Department","controller.galperin@lacity.org"
"Gil Cedillo","Council Member (District 1)","Los Angeles","California","Los Angeles Police Department","councilmember.cedillo@lacity.org"
"Paul Krekorian","Council Member (District 2)","Los Angeles","California","Los Angeles Police Department","councilmember.Krekorian@lacity.org"
"Bob Blumenfield","Council Member (District 3)","Los Angeles","California","Los Angeles Police Department","councilmember.blumenfield@lacity.org"
"David E. Ryu","Council Member (District 4)","Los Angeles","California","Los Angeles Police Department","david.ryu@lacity.org"
"Paul Koretz","Council Member (District 5)","Los Angeles","California","Los Angeles Police Department","paul.koretz@lacity.org"
"Nury Martinez","Council Member (District 6)","Los Angeles","California","Los Angeles Police Department","councilmember.martinez@lacity.org"
"Monica Rodriguez","Council Member (District 7)","Los Angeles","California","Los Angeles Police Department","councilmember.rodriguez@lacity.org"
"Marqueece Harris-Dawson","Council Member (District 8)","Los Angeles","California","Los Angeles Police Department","councilmember.harris-dawson@lacity.org"
"Curren D. Price, Jr.","Council Member (District 9)","Los Angeles","California","Los Angeles Police Department","councilmember.price@lacity.org"
"Herb J. Wesson, Jr.","Council Member (District 10)","Los Angeles","California","Los Angeles Police Department","councilmember.wesson@lacity.org"
"Mike Bonin","Council Member (District 11)","Los Angeles","California","Los Angeles Police Department","councilmember.bonin@lacity.org"
"John Lee","Council Member (District 12)","Los Angeles","California","Los Angeles Police Department","councilmember.Lee@lacity.org"
"Mitch O'Farrell","Council Member (District 13)","Los Angeles","California","Los Angeles Police Department","councilmember.Lee@lacity.org"
"Jose Huizar","Council Member (District 14)","Los Angeles","California","Los Angeles Police Department","councilmember.huizar@lacity.org"
"Joe Buscaino","Council Member (District 15)","Los Angeles","California","Los Angeles Police Department","councilmember.buscaino@lacity.org"
"Eric Garcetti","Mayor","Los Angeles","California","Los Angeles Sheriff's Department","mayor.helpdesk@lacity.org"
"Mike Feuer","City Attorney","Los Angeles","California","Los Angeles Sheriff's Department","mayor.garcetti@lacity.org"
"Ron Galperin","City Controller","Los Angeles","California","Los Angeles Sheriff's Department","controller.galperin@lacity.org"
"Gil Cedillo","Council Member (District 1)","Los Angeles","California","Los Angeles Sheriff's Department","councilmember.cedillo@lacity.org"
"Paul Krekorian","Council Member (District 2)","Los Angeles","California","Los Angeles Sheriff's Department","councilmember.Krekorian@lacity.org"
"Bob Blumenfield","Council Member (District 3)","Los Angeles","California","Los Angeles Sheriff's Department","councilmember.blumenfield@lacity.org"
"David E. Ryu","Council Member (District 4)","Los Angeles","California","Los Angeles Sheriff's Department","david.ryu@lacity.org"
"Paul Koretz","Council Member (District 5)","Los Angeles","California","Los Angeles Sheriff's Department","paul.koretz@lacity.org"
"Nury Martinez","Council Member (District 6)","Los Angeles","California","Los Angeles Sheriff's Department","councilmember.martinez@lacity.org"
"Monica Rodriguez","Council Member (District 7)","Los Angeles","California","Los Angeles Sheriff's Department","councilmember.rodriguez@lacity.org"
"Marqueece Harris-Dawson","Council Member (District 8)","Los Angeles","California","Los Angeles Sheriff's Department","councilmember.harris-dawson@lacity.org"
"Curren D. Price, Jr.","Council Member (District 9)","Los Angeles","California","Los Angeles Sheriff's Department","councilmember.price@lacity.org"
"Herb J. Wesson, Jr.","Council Member (District 10)","Los Angeles","California","Los Angeles Sheriff's Department","councilmember.wesson@lacity.org"
"Mike Bonin","Council Member (District 11)","Los Angeles","California","Los Angeles Sheriff's Department","councilmember.bonin@lacity.org"
"John Lee","Council Member (District 12)","Los Angeles","California","Los Angeles Sheriff's Department","councilmember.Lee@lacity.org"
"Mitch O'Farrell","Council Member (District 13)","Los Angeles","California","Los Angeles Sheriff's Department","councilmember.Lee@lacity.org"
"Jose Huizar","Council Member (District 14)","Los Angeles","California","Los Angeles Sheriff's Department","councilmember.huizar@lacity.org"
"Joe Buscaino","Council Member (District 15)","Los Angeles","California","Los Angeles Sheriff's Department","councilmember.buscaino@lacity.org"
