name,position,city,state,police_department_name,email
"Ron Nirenberg","Mayor","San Antonio","Texas","San Antonio Police Department","RonNirenberg@sanantonio.gov"
"Jay Podjenski","Chief of Staff District 1","San Antonio","Texas","San Antonio Police Department","jay.podjenski@sanantonio.gov"
"Lou Miller","Chief of Staff District 2","San Antonio","Texas","San Antonio Police Department","lou.miller@sanantonio.gov"
"Ruben Lizalde","Chief of Staff District 3","San Antonio","Texas","San Antonio Police Department","Ruben.Lizalde@sanantonio.gov"
"Tim Salas","Chief of Staff District 4","San Antonio","Texas","San Antonio Police Department","Tim.Salas@sanantonio.gov"
"Shirley Gonzales","City Council","San Antonio","Texas","San Antonio Police Department","Shirley.Gonzales@sanantonio.gov"
"Ashley Barth","Chief of Staff District 6","San Antonio","Texas","San Antonio Police Department","Ashley.Barth@sanantonio.gov"
"Andrew Solano","Chief of Staff District 7","San Antonio","Texas","San Antonio Police Department","Andrew.Solano@sanantonio.gov"
"Pat Wallace","Chief of Staff District 8","San Antonio","Texas","San Antonio Police Department","Pat.Wallace@sanantonio.gov"
"Derek Roberts","Chief of Staff District 9","San Antonio","Texas","San Antonio Police Department","derek.roberts@sanantonio.gov"
"Paul Jimenez","Chief of Staff District 10","San Antonio","Texas","San Antonio Police Department","paul.jimenez@sanantonio.gov"

