name,position,city,state,police_department_name,email
"Kevin Faulconer","Mayor","San Diego","California","San Diego Police Department","kevinfaulconer@sandiego.gov"
"Mara W. Elliot","City Attorney","San Diego","California","San Diego Police Department","cityattorney@sandiego.gov"
"Barbara Bry","City Council","San Diego","California","San Diego Police Department","barbarabry@sandiego.gov"
"Jennifer Campbell","City Council","San Diego","California","San Diego Police Department","jennifercampbell@sandiego.gov"
"Chris Ward","City Council","San Diego","California","San Diego Police Department","christopherward@sandiego.gov"
"Monica Montgomery","City Council","San Diego","California","San Diego Police Department","monicamontgomery@sandiego.gov"
"Mark Kersey","City Council","San Diego","California","San Diego Police Department","markkersey@sandiego.gov"
"Chris Cate","City Council","San Diego","California","San Diego Police Department","chriscate@sandiego.gov"
"Scott Sherman","City Council","San Diego","California","San Diego Police Department","scottsherman@sandiego.gov"
"Vivian Moreno","City Council","San Diego","California","San Diego Police Department","vivianmoreno@sandiego.gov"
"Georgette Gomez","City Council","San Diego","California","San Diego Police Department","georgettegomez@sandiego.gov"
"David Misleit","Police Chief","San Diego","California","San Diego Police Department","mediainquiry@pd.sandiego.gov"

