name,position,city,state,police_department_name,email
"Sam Liccardo","Mayor","San Jose","California","San Jose Police Department","mayoremail@sanjoseca.gov"
"Charles Jones","City Council","San Jose","California","San Jose Police Department","District1@sanjoseca.gov"
"Sergio Jimenez","City Council","San Jose","California","San Jose Police Department","District2@sanjoseca.gov"
"Raul Peralez","City Council","San Jose","California","San Jose Police Department","District3@sanjoseca.gov"
"Lan Diep","City Council","San Jose","California","San Jose Police Department","District4@sanjoseca.gov"
"Magadalena Carrasco","City Council","San Jose","California","San Jose Police Department","District5@sanjoseca.gov"
"Devora Davis","City Council","San Jose","California","San Jose Police Department","District6@sanjoseca.gov"
"Maya Esparza","City Council","San Jose","California","San Jose Police Department","District7@sanjoseca.gov"
"Sylvia Arenas","City Council","San Jose","California","San Jose Police Department","District8@sanjoseca.gov"
"Pam Foley","City Council","San Jose","California","San Jose Police Department","District9@sanjoseca.gov"
"Johnny Khamis","City Council","San Jose","California","San Jose Police Department","District10@sanjoseca.gov"
